Time            ,Cm                ,Cd                ,Cl                
250.0754691,-2.6797088349E-08,0.037635428697,-2.8320554455E-07
250.0758613,-2.6898334839E-08,0.037631680455,-2.830947999E-07
250.0762535,-2.6754782313E-08,0.037627949947,-2.8259878269E-07
250.0766457,-2.6995336143E-08,0.037624236749,-2.8276764396E-07
250.0770379,-2.6889744306E-08,0.037620540715,-2.8230855437E-07
250.0774301,-2.6711848723E-08,0.037616861637,-2.817580617E-07
250.0778223,-2.6991541118E-08,0.037613199358,-2.8199199383E-07
250.0782145,-2.6765265692E-08,0.037609553736,-2.8136478912E-07
250.0786067,-2.7070326045E-08,0.037605924565,-2.8162695116E-07
250.0789989,-2.6282788532E-08,0.037602311802,-2.8002987841E-07
250.0793911,-2.7553442962E-08,0.037598715185,-2.8200307317E-07
250.0797833,-2.5710575887E-08,0.03759513465,-2.7853442424E-07
250.0801755,-2.7049980012E-08,0.03759157003,-2.8064469636E-07
250.0805677,-2.6920787462E-08,0.037588021186,-2.8018225987E-07
250.0809599,-2.6044604642E-08,0.037584487989,-2.7841163583E-07
250.0813521,-2.6324465195E-08,0.037580970301,-2.786786615E-07
250.0817443,-2.6981321047E-08,0.037577467991,-2.7958323439E-07
250.0821365,-2.5986054911E-08,0.037573980933,-2.7762778344E-07
250.0825287,-2.5847763749E-08,0.037570508994,-2.7714310337E-07
250.0829209,-2.6716929879E-08,0.037567052067,-2.7846535622E-07
250.0833132,-2.5628751173E-08,0.03756360992,-2.7603674278E-07
250.0837054,-2.6039592859E-08,0.037560182671,-2.7680931543E-07
250.0840976,-2.5782209752E-08,0.037556769922,-2.7587240466E-07
250.0844898,-2.5725628941E-08,0.037553371809,-2.7580350255E-07
250.084882,-2.557654314E-08,0.037549988026,-2.7534994551E-07
250.0852742,-2.551105632E-08,0.037546618519,-2.7497696755E-07
250.0856664,-2.5352915065E-08,0.037543263186,-2.7452290866E-07
250.0860586,-2.5213200712E-08,0.037539921875,-2.7401645273E-07
250.0864508,-2.5137702587E-08,0.037536594524,-2.7369108145E-07
250.086843,-2.4965997393E-08,0.037533280997,-2.7315779086E-07
250.0872352,-2.4855825928E-08,0.03752998119,-2.7275988376E-07
250.0876274,-2.4581680729E-08,0.037526694934,-2.7177580496E-07
250.0880196,-2.4550116554E-08,0.03752342225,-2.7152624782E-07
250.0884118,-2.4310847874E-08,0.037520162983,-2.7088700445E-07
250.088804,-2.4125220923E-08,0.037516916972,-2.7032834834E-07
250.0891962,-2.4205249897E-08,0.037513684209,-2.7025989663E-07
250.0895884,-2.3713854796E-08,0.037510464527,-2.6920231827E-07
250.0899806,-2.3901183205E-08,0.037507257879,-2.6956988199E-07
250.0903728,-2.3500548034E-08,0.037504064022,-2.6836092287E-07
250.090765,-2.3675468603E-08,0.03750088302,-2.6846763846E-07
250.0911572,-2.301238093E-08,0.03749771479,-2.6736215425E-07
250.0915494,-2.2898814013E-08,0.037494559038,-2.6666011127E-07
250.0919416,-2.3295286614E-08,0.037491415877,-2.671598766E-07
250.0923339,-2.2243240033E-08,0.037488285109,-2.6509253111E-07
250.0927261,-2.2832640748E-08,0.037485166693,-2.658894173E-07
250.0931183,-2.2184938079E-08,0.037482060573,-2.6482305468E-07
250.0935105,-2.2319913704E-08,0.037478966534,-2.6483752725E-07
250.0939027,-2.1854230895E-08,0.037475884555,-2.6379599203E-07
250.0942949,-2.2147231163E-08,0.037472814547,-2.6408531122E-07
250.0946871,-2.1361334716E-08,0.037469756374,-2.6224423534E-07
250.0950793,-2.1221091943E-08,0.037466710035,-2.6176595813E-07
250.0954715,-2.1551628061E-08,0.037463675436,-2.6210625356E-07
250.0958637,-2.0625430282E-08,0.037460652461,-2.6030084963E-07
250.0962559,-2.1180116025E-08,0.037457641033,-2.6101642845E-07
250.0966481,-2.043148089E-08,0.037454641069,-2.5950030568E-07
250.0970403,-2.0235969636E-08,0.037451652488,-2.5892548188E-07
250.0974325,-2.0542660884E-08,0.03744867521,-2.5924426002E-07
250.0978247,-1.9719470705E-08,0.037445709168,-2.5758881829E-07
250.0982169,-1.9922387037E-08,0.037442754239,-2.5770068991E-07
250.0986091,-1.9600698212E-08,0.037439810399,-2.5691118155E-07
